Аранжмани на Драган Ѓаконовски - Шпато на вокални творби од други автори во фонотеката на Македонска Радио Телевизија МРТВ,

"Податоците се преземени од монографијата за Драган Ѓаконовски - Шпато: Драган Ѓаконовски - Шпато Музичка Легенда, од Ванчо Димитров",
"http://issuu.com/dojrana/docs/spato_kompaktna_verzija",

наслов,автор,изведувач,минути,сигнатура
Нежност кон Мими,Петар Пешев,Х Крстевски,,АЗ-61/24
Никогаш помалку од вчера,Бакарак,Нина Спирова,,АЗ-45/21
Нежно ноктурно,Александар Џамбазов,Зафир Хаџиманов,,АЗ-60/21
Не ми верувај,Л. Дугнас,Љупка Апостолова,,АЗ-54/9
Нејќам срце што затајува,Ванчо Тарабунов,С. Петкповска,3.52,З-5901/1
Незнаена сестра,Јане Коџабашија,Нина Спирова,3.11,З-2471/2
Незнам кај си сега,К. Костов,Драган Мијалковски,4.21,З-4917/1
Незавршена балада,Димитар Масевски,Зоран Георгиев,3.03,З-1365/2
Ноември во Скопје,Јане Коџабашија,Импулси,2.29,З-2413/1
Нешто глупаво,Паркс,Љ. Димитровска/З. Милос.,2.22,З-479/2
Ноќеска шумеа брезите,Петар Пешев,Зафир Хаџиманов
Носталгична балада,Петар Лукиќ,Лена Трајковска,4.10,З-5625/1
О галеби бели,Александар Џамбазов,Драган Мијалковски,2.56,З-3530/2
Облаче,К. Тодоровски,Х. Пирганова,,З-5096/2
Охрид син,Слободан Николовски,Љупка Апостолова,,АЗ-54/2
О каква девојка,Низа,Зоран Милосављевиќ,,АЗ-61/18
Охрид син,Слободан Николовски,Импулси,2.57,З-3880/1
Охридски гердан,Димитар Масевски,Љ. Димитровска,3.10,З-2055/2
Остани,Кирил Милев,Јанко Узунов
Остани мој,Живоин Глишиќ,Маја Оџаклиевска,3.00,З-3818/2
Оставам сè,Димитар Масевски,Диме Поповски,4.10,З-2070/3
Париски мангуп,+++,В. Сиљановска,2.23,З-1364/1
Пожелување,Е. Гарнер,Нина Спирова,2.38,АЗ-45/16
Предчувство,А. Влатковиќ,Нина Спирова,,АЗ-45/23
Пролетно сеќавање,Александар Џамбазов,Нина Спирова,,АЗ-45/24
Песна на враќањето,А.Џамбазов,Нина Спирова,,АЗ-45/25
Песна за Ана,Александар Џамбазов,Драган Мијалковски,3.20,З-2142/2
Писмо,Д. Ортаков,Ј. Катерина,2.25,З-3967/1
Прегрни ме,Џ. Гершвин,Нина Спирова,,АЗ-46/5
Пред бранови?,Александар Џамбазов,Зоран Георгиев,,АЗ-60/27
Песна за враќањето,Александар Џамбазов,Катица Ѓаконовска,,АЗ-59/19
Празно е без оваа љубов,М. Божиновски,Верица Ристевска,3.40,З-3772/3
Пролетен Бајон,Кочо Петровски,Катица Ѓаконовска,,АЗ-59/17
Планино моја рудино,Јане Коџабашија,Диме Поповски,3.00,З-2033/2
Почекај ме,Т. Органџиев,Григор Копров,3.15,З-1445/1
После оваа љубов,Кочо Петровски,Виолета Томовска
Последна солза,Димитар Масевски,Блага Видец
Последна солза,Димитар Масевски,Благоја Чешларов,3.20,З-3905/1
Поздрав на Марија,Томислав Маниќ,Томислав Маниќ
Празно е без оваа љубов,Тодор Бојаџиев,Верица Ристевска
Приказна незаборавна,Кирил Милев,Веле Матевски,3.23,З-3530/1
Прости ми,М. Манев,Сефедин Бајрамов,3.26,З-6626/1
Прости ми,Драган Мијалковски,Драган Мијалковски,3.45,З-30061
Река на спомените,Јане Коџабашија,Зоран Милосављевиќ,2.44,З-2470/2
Рубин,Периш,"Благоја Чешларов, труба",,АЗ-51/24
Разговор,Димитар Масевски,Забавен оркестар,,АЗ-51/13
Романтична,Р. Рашел,Христо Крстевски,,АЗ-49/12
Само едни очи помнам,Петар Лукиќ,Сашка Петковска,3.24,З-3677/1
Сарабанда,Томислав Маниќ,Томислав Маниќ
Secret love,F. Webster,Диме Поповски
Секој од нас,Тодор Бојаџиев,Верица Ристевска,,З-4704/3
Сеќавање,Кирил Милев,Нина Спирова
Сини очи во oктомври,Димитар Масевски,Маја Оџаклиевска
Скитник,Христо Крстевски,Христо Крстевски,,АЗ-61/27
"Спиј ми ќерко, спиј",М. Стерн,Нина Спирова,,АЗ-46/1
Срамежлива серенада,Реди,Христо Крстевски,,АЗ-49/8
Синоличка,Круме Јовановски,М. Станојковиќ,,АЗ-47/14
Синови на партизани,Јанко Узунов,Авторот,2.54,З-5707/1
Сењорита Калипсо,Е. Халец,Љупка Апостолова,,АЗ-49/7
Септемвриска песна,К. Вајл,Христо Крстевски,,АЗ-49/4
Спомен,Александар Џамбазов,Забавен оркестар,,АЗ-49/19
Со сонце во око,М. Стамач,Христо Крстевски,,АЗ-51/7
Симона,П. Галев,Ванчо Тарабунов,,З-5625/2
Сината лагуна,Е. Хоуц,Забавен оркестар,,АЗ-50/23
Сино во сино,Д. Модуњо,Христо Крстевски,,АЗ-51/22
Сионото болеро,Озборн,Диме Поповски,2.53,З-477/4
